from,to,date,rating
usdoe,aogo,16_01_25,1
dg,aogo,16_01_25,1
p89,aogo,16_01_25,3
p90,bw,16_01_25,1
p90,usdoe,16_01_25,1
p90,nnsa,16_01_25,1
bw,usdoe,16_01_25,1
bw,nnsa,16_01_25,1
usdoe,aogo,16_01_25,1
nnsa,aogo,16_01_25,1
bw,aogo,16_01_25,1
p90,aogo,16_01_25,3
p91,bp,16_01_25,1
p91,fhfa,16_01_25,1
bp,fhfa,16_01_25,1
fhfa,aogo,16_01_25,1
bp,aogo,16_01_25,1
p91,aogo,16_01_25,3
p92,jv,16_01_25,1
p92,mg,16_01_25,1
p92,sys,16_01_25,1
p92,hol,16_01_25,1
jv,hol,16_01_25,1
mg,hol,16_01_25,1
sys,hol,16_01_25,1
jv,aogo,16_01_25,1
mg,aogo,16_01_25,1
sys,aogo,16_01_25,1
p92,aogo,16_01_25,3
p93,cs,16_01_25,1
p93,sba,16_01_25,1
cs,sba,16_01_25,1
sba,aogo,16_01_25,1
cs,aogo,16_01_25,1
p93,aogo,16_01_25,3
p94,ll,16_01_25,1
p94,usdoa,16_01_25,1
ll,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
ll,aogo,16_01_25,1
p94,aogo,16_01_25,3
p95,ot,16_01_25,1
p95,fcc,16_01_25,1
ot,fcc,16_01_25,1
fcc,aogo,16_01_25,1
ot,aogo,16_01_25,1
p95,aogo,16_01_25,3
p96,tm,16_01_25,1
p96,usaf,16_01_25,1
tm,usaf,16_01_25,1
usaf,aogo,16_01_25,1
tm,aogo,16_01_25,1
p96,aogo,16_01_25,3
p97,dh,16_01_25,1
p97,usda,16_01_25,1
dh,usda,16_01_25,1
usda,aogo,16_01_25,1
dh,aogo,16_01_25,1
p97,aogo,16_01_25,3
p98,rf,16_01_25,1
p98,usdoa,16_01_25,1
rf,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
rf,aogo,16_01_25,1
p98,aogo,16_01_25,3
p99,mb,16_01_25,1
p99,usdoa,16_01_25,1
mb,usdoa,16_01_25,1
usdoa,aogo,16_01_25,1
mb,aogo,16_01_25,1
p99,aogo,16_01_25,3
p100,fbi,17_01_25,2
p100,deio,17_01_25,2
fbi,cor,17_01_25,2
deio,cor,17_01_25,2
p100,cor,17_01_25,3
p100,caaa,17_01_25,3
p101,xj,17_01_25,1
p101,chn,17_01_25,1
xj,chn,17_01_25,1
p101,t,17_01_25,3
p101,fy,17_01_25,3
p101,ttb,17_01_25,3
p101,pair,17_01_25,3
p101,nas,17_01_25,3
p102,ussc,17_01_25,3
p102,ttb,17_01_25,3
ussc,lp,17_01_25,3
p102,lp,17_01_25,3
p103,uscap,17_01_25,1
p103,coa,17_01_25,1
p103,rr,17_01_25,1
p103,le,17_01_25,1
p103,nas,17_01_25,3
p103,hist,17_01_25,3
p103,caaa,17_01_25,3
p104,ml,18_01_25,1
p104,usaf,18_01_25,1
ml,usaf,18_01_25,1
usaf,aogo,18_01_25,1
ml,aogo,18_01_25,1
p104,aogo,18_01_25,3
p105,trumpm,18_01_25,1
p105,af,18_01_25,3
p105,caaa,18_01_25,3
p106,hist,18_01_25,3
p106,caaa,18_01_25,3
p107,ps,18_01_25,1
p107,usdoed,18_01_25,1
ps,usdoed,18_01_25,1
usdoed,aogo,18_01_25,1
ps,aogo,18_01_25,1
p107,aogo,18_01_25,3
p108,wc,18_01_25,1
p108,faf,18_01_25,1
wc,faf,18_01_25,1
p108,mc,18_01_25,3
p109,nyj,19_01_25,2
p109,nyc,19_01_25,2
nyj,cor,19_01_25,2
nyc,cor,19_01_25,2
p109,cor,19_01_25,3
p109,lp,19_01_25,3
p110,tt,19_01_25,1
p110,ttb,19_01_25,3
p111,isr,19_01_25,1
p111,ham,19_01_25,2
p111,war,19_01_25,3
p111,pair,19_01_25,3
p112,aogo,19_01_25,3
p113,tt,19_01_25,1
p113,usg,19_01_25,1
p113,ttb,19_01_25,3
p113,nas,19_01_25,3
p113,ta,19_01_25,3
usg,tt,19_01_25,1
p114,ja,21_01_25,2
p114,mm,21_01_25,2
p114,bh,21_01_25,2
p114,kb,21_01_25,2
p114,pcsfn,21_01_25,2
p114,niac,21_01_25,2
p114,wcs,21_01_25,2
p114,pec,21_01_25,2
ja,pcsfn,21_01_25,2
mm,niac,21_01_25,2
bh,wcs,21_01_25,2
kb,pec,21_01_25,2
p114,aogo,21_01_25,3
p114,pa,21_01_25,3
p115,ru,22_01_25,1
p115,lm,22_01_25,1
p115,par,22_01_25,3
p115,lp,22_01_25,3
ru,par,22_01_25,1
p116,nb,22_01_25,2
p116,nps,22_01_25,2
p116,cm,22_01_25,3
p116,pa,22_01_25,3
p117,rus,22_01_25,1
p117,vp,22_01_25,1
vp,rus,22_01_25,1
p117,war,22_01_25,3
p117,ta,22_01_25,3
p117,t,22_01_25,3
rus,ta,22_01_25,2
rus,t,22_01_25,2
p118,mt,22_01_25,1
p118,w,22_01_25,3
p119,msnbc,23_01_25,2
p119,cnn,23_01_25,2
msnbc,mc,23_01_25,2
cnn,mc,23_01_25,2
p119,mc,23_01_25,3
p119,fk,23_01_25,3
p120,bb,23_01_25,1
p120,usagm,23_01_25,1
bb,usagm,23_01_25,1
usagm,aogo,23_01_25,1
bb,aogo,23_01_25,1
p120,aogo,23_01_25,3
p121,ap,23_01_25,1
p121,eu,23_01_25,3
ap,eu,23_01_25,1
eu,aogo,23_01_25,1
ap,aogo,23_01_25,1
p121,aogo,23_01_25,3
p122,sc,23_01_25,1
p122,usss,23_01_25,1
sc,usss,23_01_25,1
usss,aogo,23_01_25,1
sc,aogo,23_01_25,1
p122,aogo,23_01_25,3
p123,fn,23_01_25,1
p123,sh,23_01_25,1
sh,fn,23_01_25,1
p124,jvd,23_01_25,1
p124,wtu,23_01_25,2
p124,nj,23_01_25,1
jvd,wtu,23_01_25,1
p124,ep,23_01_25,3
p125,bl,24_01_25,1
p126,northc,24_01_25,3
p126,cali,24_01_25,3
p126,caaa,24_01_25,3
p127,northc,24_01_25,3
p127,caaa,24_01_25,3
p128,jn,24_01_25,1
p128,usg,24_01_25,1
p128,nz,24_01_25,1
p128,sam,24_01_25,1
jn,aogo,24_01_25,1
usg,aogo,24_01_25,1
p128,aogo,24_01_25,3
p129,hist,24_01_25,3
p129,af,24_01_25,3
p129,caaa,24_01_25,3
p130,ph,25_01_25,1
ph,aogo,25_01_25,1
p130,aogo,25_01_25,3
p131,rm,25_01_25,2
p131,msnbc,25_01_25,2
p131,cnn,25_01_25,2
rm,mc,25_01_25,2
msnbc,mc,25_01_25,2
cnn,mc,25_01_25,2
p131,mc,25_01_25,3
p131,pa,25_01_25,3
p132,nv,25_01_25,3
p132,caaa,25_01_25,3
p133,isr,25_01_25,1
p133,jb,25_01_25,2
p133,war,25_01_25,3
p133,pair,25_01_25,3
p134,af,26_01_25,3
p134,caaa,26_01_25,3
p135,jp,26_01_25,1
p135,fl,26_01_25,1
p135,ec,26_01_25,3
p135,cm,26_01_25,3
p135,nas,26_01_25,3
p135,ep,26_01_25,3
p135,sec,26_01_25,3
jp,ec,26_01_25,1
jp,nas,26_01_25,1
jp,ep,26_01_25,1
jp,sec,26_01_25,1
p136,rf,26_01_25,1
p136,fl,26_01_25,1
p136,if,26_01_25,3
p136,ec,26_01_25,3
p136,nas,26_01_25,3
p136,ep,26_01_25,3
p136,sec,26_01_25,3
p136,war,26_01_25,3
rf,if,26_01_25,1
rf,ec,26_01_25,1
rf,nas,26_01_25,1
rf,ep,26_01_25,1
rf,sec,26_01_25,1
rf,war,26_01_25,1
p137,gs,26_01_25,1
p137,azgop,26_01_25,1
p137,az,26_01_25,1
gs,azgop,26_01_25,1
p137,af,26_01_25,3
p138,yt,26_01_25,1
p138,x,26_01_25,1
p138,rr,26_01_25,1
p138,hist,26_01_25,3
