from,to,date,rating
p132,caaa,25_01_25,3
p133,isr,25_01_25,1
p133,jb,25_01_25,2
p133,war,25_01_25,3
p133,pair,25_01_25,3
p134,af,26_01_25,3
p134,caaa,26_01_25,3
p135,jpat,26_01_25,1
p135,fl,26_01_25,1
p135,eco,26_01_25,3
p135,cm,26_01_25,3
p135,nas,26_01_25,3
p135,ep,26_01_25,3
p135,sec,26_01_25,3
jpat,eco,26_01_25,1
jpat,nas,26_01_25,1
jpat,ep,26_01_25,1
jpat,sec,26_01_25,1
p136,rfi,26_01_25,1
p136,fl,26_01_25,1
p136,inf,26_01_25,3
p136,eco,26_01_25,3
p136,nas,26_01_25,3
p136,ep,26_01_25,3
p136,sec,26_01_25,3
p136,war,26_01_25,3
rfi,inf,26_01_25,1
rfi,eco,26_01_25,1
rfi,nas,26_01_25,1
rfi,ep,26_01_25,1
rfi,sec,26_01_25,1
rfi,war,26_01_25,1
p137,gsw,26_01_25,1
p137,azgop,26_01_25,1
p137,az,26_01_25,1
gsw,azgop,26_01_25,1
p137,af,26_01_25,3
p138,yt,26_01_25,1
p138,x,26_01_25,1
p138,rr,26_01_25,1
p138,hist,26_01_25,3
p139,ml,26_01_25,1
p139,fone,26_01_25,1
ml,fone,26_01_25,1
p140,gp,26_01_25,2
p140,col,26_01_25,2
p140,t,26_01_25,3
p140,nas,26_01_25,3
p140,cm,26_01_25,3
col,t,26_01_25,2
p141,sh,26_01_25,1
p142,ml,27_01_25,1
p143,kapa,27_01_25,1
p143,jjd,27_01_25,1
p143,ml,27_01_25,1
kapa,ml,27_01_25,1
jjd,ml,27_01_25,1
p143,mc,27_01_25,3
p143,fb,27_01_25,3
p144,ml,27_01_25,1
p145,kcc,27_01_25,1
p145,bbill,27_01_25,1
p145,fb,27_01_25,3
p146,af,27_01_25,3
p147,eco,27_01_25,3
p147,hist,27_01_25,3
p147,af,27_01_25,3
p148,nv,28_01_25,1
p148,mimc,28_01_25,1
p148,jl,28_01_25,1
p148,nvgop,28_01_25,1
mimc,nvgop,28_01_25,1
jl,nvgop,28_01_25,1
p148,af,28_01_25,3
p148,hist,28_01_25,3
